date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:04	40472/40472	---M-Z	200	added ('OK')	text/html	etag:W/%226d803ed3e84fd04b0ac8e40760c469e0-gzip%22	https://www.brysonstavern.com/	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/index.html	(from )
14:16:04	134/134	---M--	200	added ('OK')	text/plain	etag:W/%22bc64f32b95603e793b26c01991115176%22	https://www.brysonstavern.com/robots.txt		(from )
14:16:04	20378/20378	---M--	200	added ('OK')	image/png	etag:%22a04d3def7534c12f3f4039aae7807197%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/brysons-tavern-logo-white-1_orig.png	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/brysons-tavern-logo-white-1_orig.png	(from https://www.brysonstavern.com/)
14:16:05	6097/6097	---M--	200	added ('OK')	image/jpeg	etag:%220fb0b5a1f3a8da32b3f5629366996c8e%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/pexels-john-matthew-3537900_orig.jpg	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/pexels-john-matthew-3537900_orig.jpg	(from https://www.brysonstavern.com/)
14:16:05	10221/10221	---M--	200	added ('OK')	image/png	etag:%22557247cdda391f85794f445d0d7b5fcb%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/published/brysons-tavern-logo-white.png?1610794703	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/published/brysons-tavern-logo-white2db1.png	(from https://www.brysonstavern.com/)
14:16:05	14684/14684	---M--	200	added ('OK')	image/jpeg	etag:%22c959f102f5e57bccd154e0e7fc02ce13%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/editor/pexels-tembela-bohle-1089930.jpg?1610443290	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/editor/pexels-tembela-bohle-10899304b1e.jpg	(from https://www.brysonstavern.com/)
14:16:05	10221/10221	---M--	200	added ('OK')	image/png	etag:%22557247cdda391f85794f445d0d7b5fcb%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/published/brysons-tavern-logo-white.png?1610792014	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/published/brysons-tavern-logo-white891d.png	(from https://www.brysonstavern.com/)
14:16:05	51625/51625	---M--	200	added ('OK')	image/jpeg	etag:%22815c34bf533dd001dcd64b277465d556%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/pexels-erik-mclean-4061482-orig_orig.jpg	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/pexels-erik-mclean-4061482-orig_orig.jpg	(from https://www.brysonstavern.com/)
14:16:06	34914/34914	---M--	200	added ('OK')	image/jpeg	etag:%220e4643ee272849a869aa167c6ba041b3%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/pexels-denniz-futalan-2306898-orig_orig.jpg	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/pexels-denniz-futalan-2306898-orig_orig.jpg	(from https://www.brysonstavern.com/)
14:16:06	61107/61107	---M--	200	added ('OK')	image/jpeg	etag:%220500ee5bd0c477cfc364ddd423d798a3%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/pexels-tima-miroshnichenko-6253978_orig.jpg	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/pexels-tima-miroshnichenko-6253978_orig.jpg	(from https://www.brysonstavern.com/)
14:16:06	43601/43601	---M--	200	added ('OK')	image/jpeg	etag:%22dfc4bf8b864f38c2ec9b2c9528249ac2%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/published/air-hockey-167863-640.jpg?1610445535	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/published/air-hockey-167863-640d0b9.jpg	(from https://www.brysonstavern.com/)
14:16:06	10804/10804	---M--	200	added ('OK')	image/jpeg	etag:%227c906e981e93814e194ddfd762e84893%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/editor/depositphotos-217770192-ds_1.jpg?1610793096	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/editor/depositphotos-217770192-ds_1fa2f.jpg	(from https://www.brysonstavern.com/)
14:16:06	24573/24573	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e52201e96af18dd02c85eb627c843491%22	https://www.brysonstavern.com/files/theme/MutationObserver.js	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/files/theme/MutationObserver.js	(from https://www.brysonstavern.com/)
14:16:08	214956/214956	---M-Z	200	added ('OK')	text/css	etag:W/%22642df1f4-347ac%22	http://cdn2.editmysite.com/css/sites.css?buildTime=1680733730	C:/Site_Copies/www.brysonstavern.com/cdn2.editmysite.com/css/sitesa5c8.css	(from https://www.brysonstavern.com/)
14:16:09	3911/3911	---M-Z	200	added ('OK')	text/css	etag:%22642df1fa-f47%22	http://cdn2.editmysite.com/css/old/fancybox.css?1234	C:/Site_Copies/www.brysonstavern.com/cdn2.editmysite.com/css/old/fancybox81dc.css	(from https://www.brysonstavern.com/)
14:16:09	13081/13081	---M-Z	200	added ('OK')	text/css	etag:W/%22642df1f4-3319%22	http://cdn2.editmysite.com/css/social-icons.css?buildtime=1234	C:/Site_Copies/www.brysonstavern.com/cdn2.editmysite.com/css/social-icons4315.css	(from https://www.brysonstavern.com/)
14:16:09	45858/45858	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2019:16:09%20GMT	https://www.brysonstavern.com/files/main_style.css?1680741183	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/files/main_style8f93.css	(from https://www.brysonstavern.com/)
14:16:10	1710/1710	---M-Z	200	added ('OK')	text/css	etag:%22642199d7-6ae%22	http://cdn2.editmysite.com/fonts/Karla/font.css?2	C:/Site_Copies/www.brysonstavern.com/cdn2.editmysite.com/fonts/Karla/fontc81e.css	(from https://www.brysonstavern.com/)
14:16:10	1735/1735	---M-Z	200	added ('OK')	text/css	etag:%2264276465-6c7%22	http://cdn2.editmysite.com/fonts/Roboto_Mono/font.css?2	C:/Site_Copies/www.brysonstavern.com/cdn2.editmysite.com/fonts/Roboto_Mono/fontc81e.css	(from https://www.brysonstavern.com/)
14:16:10	1264/1264	---M-Z	200	added ('OK')	text/css	etag:%22642199d7-4f0%22	http://cdn2.editmysite.com/fonts/Oswald/font.css?2	C:/Site_Copies/www.brysonstavern.com/cdn2.editmysite.com/fonts/Oswald/fontc81e.css	(from https://www.brysonstavern.com/)
14:16:10	1706/1706	---M-Z	200	added ('OK')	text/css	etag:%22642199d6-6aa%22	http://cdn2.editmysite.com/fonts/Arvo/font.css?2	C:/Site_Copies/www.brysonstavern.com/cdn2.editmysite.com/fonts/Arvo/fontc81e.css	(from https://www.brysonstavern.com/)
14:16:11	436/436	---M-Z	200	added ('OK')	text/css	etag:%226422fd1c-1b4%22	http://cdn2.editmysite.com/fonts/Alfa_Slab_One/font.css?2	C:/Site_Copies/www.brysonstavern.com/cdn2.editmysite.com/fonts/Alfa_Slab_One/fontc81e.css	(from https://www.brysonstavern.com/)
14:16:11	1266/1266	---M-Z	200	added ('OK')	text/css	etag:%2264276463-4f2%22	http://cdn2.editmysite.com/fonts/Cardo/font.css?2	C:/Site_Copies/www.brysonstavern.com/cdn2.editmysite.com/fonts/Cardo/fontc81e.css	(from https://www.brysonstavern.com/)
14:16:11	7160/7160	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2006%20Apr%202023%2019:16:11%20GMT	https://www.brysonstavern.com/files/templateArtifacts.js?1680741183	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/files/templateArtifacts8f93.js	(from https://www.brysonstavern.com/)
14:16:11	93636/93636	---M-Z	200	added ('OK')	application/javascript	etag:%22642acd1b-16dc4%22	https://cdn2.editmysite.com/js/jquery-1.8.3.min.js	C:/Site_Copies/www.brysonstavern.com/cdn2.editmysite.com/js/jquery-1.8.3.min.js	(from https://www.brysonstavern.com/)
14:16:13	850/850	---MC-	200	added ('OK')	text/javascript	date:Thu,%2006%20Apr%202023%2019:16:13%20GMT	https://www.google.com/recaptcha/api.js	C:/Site_Copies/www.brysonstavern.com/www.google.com/recaptcha/api.js	(from https://www.brysonstavern.com/)
14:16:15	9725/9725	---M--	200	added ('OK')	image/png	etag:%2263a72ce3db46901f3470bb584bce95b0%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/brysons-tavern-logo-black.png	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/brysons-tavern-logo-black.png	(from https://www.brysonstavern.com/)
14:16:16	182251/182251	---M-Z	200	added ('OK')	application/javascript	etag:%22642df1a9-2c7eb%22	http://cdn2.editmysite.com/js/lang/en/stl.js?buildTime=1234&	C:/Site_Copies/www.brysonstavern.com/cdn2.editmysite.com/js/lang/en/stlaf0d.js	(from https://www.brysonstavern.com/)
14:16:16	28724/28724	---M-Z	200	added ('OK')	text/html	etag:W/%221c2ba9fe8c31825a04dd43d0f1778a70-gzip%22	https://www.brysonstavern.com/specials.html	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/specials.html	(from https://www.brysonstavern.com/)
14:16:16	31002/31002	---M-Z	200	added ('OK')	text/html	etag:W/%22047a9fe64907a4e63bfaf152f35b1bc8-gzip%22	https://www.brysonstavern.com/events.html	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/events.html	(from https://www.brysonstavern.com/)
14:16:17	30555/30555	---M-Z	200	added ('OK')	text/html	etag:W/%225fedc53c409441e4ef8fa0f64f74e4e0-gzip%22	https://www.brysonstavern.com/about.html	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/about.html	(from https://www.brysonstavern.com/)
